team,opponent,player,ip,ha,er,bb,hb,so,bf,hr_a,game_id,game_date,season
CSU Bakersfield,UCF,Christal Lopez,1.0,4.0,4.0,1.0,0.0,0.0,7.0,0.0,6304752.0,02/06/2025,2025.0
CSU Bakersfield,UCF,Maya Rameriez,1.1,4.0,2.0,1.0,0.0,0.0,10.0,0.0,6304752.0,02/06/2025,2025.0
CSU Bakersfield,UCF,Bailee Bustos,1.2,0.0,0.0,1.0,1.0,0.0,7.0,0.0,6304752.0,02/06/2025,2025.0
UCF,CSU Bakersfield,Isabella Vega,5.0,3.0,0.0,0.0,0.0,4.0,18.0,0.0,6304752.0,02/06/2025,2025.0
Georgia,UCF,Randi Roelling,7.0,2.0,0.0,1.0,1.0,7.0,26.0,0.0,6304753.0,02/06/2025,2025.0
UCF,Georgia,Yessenia Lopez,2.0,5.0,1.0,0.0,0.0,1.0,11.0,0.0,6304753.0,02/06/2025,2025.0
UCF,Georgia,Macy Miles,1.2,1.0,0.0,1.0,0.0,0.0,7.0,0.0,6304753.0,02/06/2025,2025.0
UCF,Georgia,Katelyn Cochran,2.0,3.0,2.0,2.0,1.0,1.0,11.0,0.0,6304753.0,02/06/2025,2025.0
UCF,Georgia,Isabella Vega,0.2,1.0,0.0,1.0,0.0,0.0,4.0,0.0,6304753.0,02/06/2025,2025.0
UCF,Georgia,Kaitlyn Felton,0.2,0.0,0.0,0.0,1.0,1.0,3.0,0.0,6304753.0,02/06/2025,2025.0
Seton Hall,Louisiana,Kelsey Carr,7.0,6.0,1.0,3.0,0.0,0.0,31.0,1.0,6304754.0,02/06/2025,2025.0
Louisiana,Seton Hall,Tyra Clary,4.0,3.0,3.0,6.0,0.0,2.0,19.0,0.0,6304754.0,02/06/2025,2025.0
Louisiana,Seton Hall,Mallory Wheeler,3.0,3.0,0.0,2.0,0.0,1.0,12.0,0.0,6304754.0,02/06/2025,2025.0
Virginia,South Carolina,Eden Bigham,3.0,3.0,0.0,4.0,1.0,1.0,18.0,0.0,6304756.0,02/06/2025,2025.0
Virginia,South Carolina,Savanah Henley,3.1,5.0,4.0,3.0,1.0,4.0,20.0,0.0,6304756.0,02/06/2025,2025.0
South Carolina,Virginia,Sam Gress,3.0,6.0,2.0,4.0,0.0,1.0,18.0,0.0,6304756.0,02/06/2025,2025.0
South Carolina,Virginia,Jori Heard,4.0,2.0,0.0,0.0,0.0,6.0,17.0,0.0,6304756.0,02/06/2025,2025.0
Boston College,FGCU,Abby Dunning,7.0,4.0,0.0,4.0,0.0,3.0,28.0,0.0,6304757.0,02/06/2025,2025.0
FGCU,Boston College,Allison Sparkman,6.1,7.0,1.0,0.0,1.0,3.0,28.0,0.0,6304757.0,02/06/2025,2025.0
FGCU,Boston College,Victoria Ash,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6304757.0,02/06/2025,2025.0
New Mexico,Sam Houston,Marina Tinari,2.1,5.0,3.0,2.0,0.0,2.0,14.0,0.0,6304759.0,02/06/2025,2025.0
New Mexico,Sam Houston,Natalie Fritz,1.0,5.0,1.0,1.0,0.0,0.0,8.0,0.0,6304759.0,02/06/2025,2025.0
New Mexico,Sam Houston,Lexi Atcitty,2.2,2.0,0.0,0.0,0.0,1.0,11.0,0.0,6304759.0,02/06/2025,2025.0
Sam Houston,New Mexico,Amy Abke,5.0,1.0,0.0,4.0,0.0,2.0,20.0,0.0,6304759.0,02/06/2025,2025.0
Sam Houston,New Mexico,Abigail Young,2.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,6304759.0,02/06/2025,2025.0
BYU,UC San Diego,Kaysen Korth,4.2,5.0,0.0,0.0,0.0,2.0,19.0,0.0,6304760.0,02/06/2025,2025.0
