away_team,away_team_id,away_team_logo,away_team_runs,home_team,home_team_id,home_team_logo,home_team_runs,game_date,game_id,status
Clemson,595218,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//147.gif,2.0,Ole Miss,595281,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//433.gif,3.0,02/06/2025 TBA,6304763,Final
Virginia,595117,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//746.gif,6.0,South Carolina,595082,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//648.gif,7.0,02/06/2025 TBA,6304756,Final
Delaware,595145,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//180.gif,1.0,Illinois St.,595239,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//299.gif,2.0,02/06/2025 TBA,6309889,Final
Ole Miss,595281,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//433.gif,4.0,Fla. Atlantic,595157,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//229.gif,5.0,02/06/2025 TBA,6309433,Final
Kansas,595251,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//328.gif,3.0,Clemson,595218,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//147.gif,4.0,02/06/2025 TBA,6304764,Final
Boston College,595202,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//67.gif,2.0,FGCU,595328,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//28755.gif,1.0,02/06/2025 TBA,6304757,Final
NC State,595037,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//490.gif,0.0,Georgia,595229,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//257.gif,9.0,02/06/2025 TBA,6314136,Final
South Carolina St.,595081,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//647.gif,8.0,Furman,595222,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//244.gif,4.0,02/06/2025 TBA,6317800,Final
Ohio,595050,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//519.gif,12.0,Elon,595169,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//1068.gif,8.0,02/06/2025 TBA,6312492,Final
N.C. Central,595036,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//489.gif,0.0,Ohio,595050,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//519.gif,8.0,02/06/2025 TBA,6312032,Final
N.C. Central,595036,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//489.gif,5.0,UNC Greensboro,595289,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//459.gif,14.0,02/06/2025 TBA,6312033,Final
Florida St.,595159,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//234.gif,7.0,Northern Colo.,595042,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//502.gif,1.0,02/06/2025 TBA,6308760,Final
Florida St.,595159,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//234.gif,6.0,Oklahoma St.,595051,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//521.gif,9.0,02/06/2025 TBA,6308756,Final
CSU Bakersfield,595212,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//94.gif,0.0,UCF,595131,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//128.gif,10.0,02/06/2025 TBA,6304752,Final
Georgia,595229,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//257.gif,4.0,UCF,595131,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//128.gif,0.0,02/06/2025 TBA,6304753,Final
Indiana,595243,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//306.gif,3.0,FIU,595158,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//231.gif,4.0,02/06/2025 TBA,6316813,Final
Kansas,595251,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//328.gif,2.0,Fla. Atlantic,595157,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//229.gif,3.0,02/06/2025 TBA,6309434,Final
North Florida,595177,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//2711.gif,0.0,Florida,595332,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//235.gif,8.0,02/06/2025 TBA,6304762,Final
UAB,595188,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//9.gif,1.0,South Alabama,595080,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//646.gif,4.0,02/06/2025 TBA,6304761,Final
BYU,595205,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//77.gif,8.0,UC San Diego,595302,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//112.gif,0.0,02/06/2025 TBA,6304760,Final
Seton Hall,595079,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//635.gif,4.0,Louisiana,595091,https://web2.ncaa.org/ncaa_style/img/All_Logos/sm//671.gif,2.0,02/06/2025 TBA,6304754,Final
